New Athletes Report - 2026-02-13 12:28:16
Total: 430 new athletes
============================================================

  Erik Ertzgaard (M, 1977) - Haugesund IL
  Øyvind Strømmen Okeke (M, 1991) - Florø TIF
  Øyvind Strømmen Okeke (M, 1991) - Florø TIF
  Øyvind Strømmen Kjensli (M, 1991) - Florø TIF
  Øyvind Strømmen Moen (M, 1991) - Florø TIF
  Øyvind Strømmen Sæterstøl (M, 1991) - Florø TIF
  Øyvind Strømmen Sivle (M, 1991) - Florø TIF
  Øyvind Strømmen Mellin-Olsen (M, 1991) - Florø TIF
  Øyvind Strømmen Moen (M, 1991) - Florø TIF
  Øyvind Strømmen Okeke (M, 1991) - Florø TIF
  Øyvind Strømmen Ndure (M, 1991) - Florø TIF
  Øyvind Strømmen Okeke (M, 1991) - Florø TIF
  Øyvind Strømmen Sæterstøl (M, 1991) - Florø TIF
  Øyvind Strømmen Moen (M, 1991) - Florø TIF
  Øyvind Strømmen Sæterstøl (M, 1991) - Florø TIF
  Øyvind Strømmen Ramirez (M, 1991) - Florø TIF
  Øyvind Strømmen Sivle (M, 1991) - Florø TIF
  Øyvind Strømmen Sæterstøl (M, 1991) - Florø TIF
  Øyvind Strømmen Moen (M, 1991) - Florø TIF
  Øyvind Strømmen Okeke (M, 1991) - Florø TIF
  Øyvind Strømmen Moen (M, 1991) - Florø TIF
  Øyvind Strømmen Okeke (M, 1991) - Florø TIF
  Øyvind Strømmen Ertzgaard (M, 1991) - Florø TIF
  Øyvind Strømmen Okeke (M, 1991) - Florø TIF
  Øyvind Strømmen Ramirez (M, 1991) - Florø TIF
  Øyvind Strømmen Sivle (M, 1991) - Florø TIF
  Øyvind Strømmen Moen (M, 1991) - Florø TIF
  Øyvind Strømmen Moen (M, 1991) - Florø TIF
  Øyvind Strømmen Moen (M, 1991) - Florø TIF
  Øyvind Strømmen Sivle (M, 1991) - Florø TIF
  Øyvind Strømmen Sæterstøl (M, 1991) - Florø TIF
  Øyvind Strømmen Moen (M, 1991) - Florø TIF
  Øyvind Strømmen Moen (M, 1991) - Florø TIF
  Øyvind Strømmen Moen (M, 1991) - Florø TIF
  Øyvind Strømmen Moen (M, 1991) - Florø TIF
