New Athletes Report - 2026-02-13 15:38:11
Total: 199 new athletes
============================================================

  Fritz Fredriksen (M, 1998) - Ekeberg IF
  Johan Skaaluren (M, 1984) - Kristiania IF
  Fredrik H. Johansen (M, 1916) - Moss IL
  Svein Erik Pedersen (M, 1943) - IL Tyrving
  Søyland (M, None) - 
  Knut Ragnar Knudsen (M, 1947) - IL Viking, Stavanger
  Erling Vinne (M, 1992) - IK Tjalve
  Kaare Bache (M, 1998) - Kristiania IF
  Erik Manskow (M, 2000) - Kristiania IF
  Gunnar Hagen (M, 2004) - IL i BUL
  Arild Bredholt (M, 1968) - Rakkestad IF
  Georg Danielsen (M, 1994) - Bækkelagets SK
  Marius Klepp (M, 1933) - SK Vidar
  Edvard Larsen (M, 1981) - Kristiania IF
  Bjørn Hansen (M, 1944) - Otra IL
  Jan Henning Nilsen (M, 1941) - TIF Viking, Bergen
  Erling Thorsnes (M, 1996) - SK Brann
  Lauritz G. Bryhn (M, 1995) - Hamar IL
  Arne Randmæl (M, 2000) - Torshaug IF
  Lauritz Schibbye (M, 1992) - Studenternes IK
  Thorvald Knudsen (M, 1995) - Odds FIK
  Arne Gulbrandsen (M, 1996) - Kristiania IF
  Knut Helge Iversen (M, 1955) - IL Gular
  Tom Einar Jensen (M, 1970) - IK Tjalve
  Per Magnar Arnstad (M, 1937) - IL Fram, Skatval
  Jacob Erstad (M, 1998) - Bergens TF
  Olav Nystad (M, 1937) - IL Pasvik-Hauk
  Sigvard Bjerve (M, 2000) - IL Blink, Stjørdal
  Erik Skjæveland (M, 1997) - Stavanger IL
  Leopold Bermann (M, 2003) - SK Freidig
  Ole Gulli (M, 2001) - Oslo TF
  Leif Ingulf Widnæss (M, 1978) - Norske TF
  Per Erling Olsen (M, 1958) - SK Vidar
  Nils Arne Hjelle (M, 1954) - Bodø FIK
  Hans J. Larsen (M, 1942) - IL Stålkameratene
  Bjarne Kløvstad (M, 1989) - IF Ørnulf
  Olav Engen (M, 1934) - IL Skjalg
  Henry Olsen (M, 1987) - Kristiania IF
  Thorolf Mørch (M, 1991) - Kristiania IF
  Arvid Røstad (M, 2005) - Verdal IL
  Eskil Skarland (M, 1959) - Overhalla IL
  Stig Benserud (M, 1966) - IK Tjalve
  Sverre Øverby (M, 1959) - IF Vestheim
  Magnus R. Berntsen (M, 1989) - Aurskog-Høland FIL
  Johan Jacobsen (M, 1998) - Jevnaker IF
  Ketil Askildt (M, 2000) - IK Hermod
  Johan Trandem (M, 1999) - IF Torodd
  J. Sagedal (M, 1970) - Froland IL
  Kristian Johansen (M, 1916) - IL Jutul
  Harald Stenerud (M, 1997) - TIF Viking, Bergen
  Gunnar Hansen (M, 1915) - Fauske IL
  Jon Sætre (M, 1946) - Tønsbergs TF
  Arne Nilssen (M, 1916) - Bodø & Omegn IF
  Knut Sjøwall (M, None) - Gamlebyen IF
  Trygve Kindlihagen (M, 1936) - Ringsaker IF
  K. Sagedal (M, 1960) - Sørild FIK
  Bjørnar Halvorsen (M, 1973) - SK Vidar
  Bjørn Erik Pettersen (M, 1976) - IK Tjalve
  Vidar Andersen (M, 1959) - Florø TIF
  Håkon Johansen (M, 1934) - IL Rein
  Martin Næsbø (M, 1937) - Fitjar IL
  Anders Johannessen (M, 1982) - IL Norna-Salhus
  Halvor Jakobsen (M, 1970) - Fredrikstad IF
  Sjur Johnsen (M, 1991) - SK Brann
  Knut Haugen (M, 1939) - Ski IL
  Egil Nygård (M, 1940) - Kristiansands IF
  Tor Henning Jørgensen (M, 1961) - Fredrikstad IF
  Ole Jon Bakke (M, 1954) - Rauma FIL
  Oddvar Hansen (M, 1942) - IL Gular
  Kjell Engebretsen (M, 1934) - IF Hellas
  Stein Ingar Martinsen (M, 1977) - Moss IL
  Einar Halvorsen (M, 1990) - IL Viking, Stavanger
  Reidar Lorentzen (M, 1956) - IK Tjalve
  R. Lorentzen (M, 1956) - IK Tjalve
  R. Nilsen (M, 1971) - IL Norna-Salhus
  John Solem (M, 1960) - Hegra IL
  Andrè Solstrand (M, 1970) - SK Vidar
  Ole Martin Wilhelmsen (M, 1969) - Sarpsborg IL
